name,type,lore
Insanity Star,1,
Olmic Artifact,1,
Renegade,4,
Sulfur Expulser,4,
Bygg,5,
Sacrilege,4,
Cnidarian Hellspawn,3,
Swindler's Charm,5,
Ornate Shadow Cowl,3,
Empyreal Emberplate,3,
Treasured Diamond Mask of Legendary Victory,3,"This excessively ornate to-the-point-of-being-wasteful decorative mask, laser-cut from a meter's worth of pure diamond, is given to those who have spent an unnecessary amount of time completing the Legendary Challenge, broken the mold by continuing to spend an unnecessary amount of time completing the Legendary Challenge, gone even further beyond spending unnecessary amounts of time completing the Legendary Challenge, and then pushed onward to prove that they will not stop spending unnecessary amounts of time completing the Legendary Challenge."
Delusion,3,
Phantasmal Hostage,3,"A soul sacrificed willingly, to an eternity in captivity. Imprints and memories; all that remain of a hero of the lands."
Ornate Shadow Garb,3,
Petulance,4,
Malevolent Urge,4,"You wouldn't even think of committing these atrocities, would you? But what if you weren't the one in control?"
Ornate Shadow Cover,3,
Schadenfreude,3,
Brutality,4,
Dissonance,3,
Bloodbath,4,"Blood. Carnage. Death. Destruction. This is all Annihilation knows. A fury written into its very core, a violent rage building from an endless War. If it were to have its way, all of Wynn would fall to chaos."
Ornate Shadow Cloud,3,
Quetzalcoatl,4,"The great serpent of Ahms was said to be a bringer of wisdom in days long past, revered by the inhabitants of the region. Totems like this one were crafted as an act of worship, though as belief faded over time, so too were these idols lost and destroyed. Only one remains."
Abhorrence,4,
Lost Seconds,5,"This ring is set with a beautiful, mesmerizing gem. You could look at it for hours. Hours and hours and hours."
Hypoxia,5,You need to keep moving. You can't stop here. You can't. You can't breathe. You can't run. You're dying. You can't keep on. You can't. You can't.
Surveillance,4,
Viral Tentacle,1,
Popped Pustule,1,
Condensed Darkness,1,
Vile Stone,1,
Skybound Remnant,1,
Calcified Ligament,1,
Cystic Lard,1,
Remnant of the Ruined,1,
Toxic Lumps,1,
Acidic Remains,1,
Sludge Parasite,1,
Consolidate,4,
Withstand,3,
Third Wish,4,
Venerated Gold Mask of Legendary Victory,3,"This excessively ornate decorative mask, moulded from 24 carat gold, is awarded to those who have both spent an unnecessary amount of time completing the Legendary Challenge and broken the mold by continuing to spend an unnecessary amount of time completing the Legendary Challenge, and then gone even further beyond spending unnecessary amounts of time completing the Legendary Challenge."
Azeotrope,5,
Hanafubuki,4,"The most dangerous enemy is one you cannot see. Hidden amidst a flurry of petals comes an avalanche of blows, in one moment dissolving mountains and forests into a growing amalgam, leaving a wake of vibrant bloom in the next."
Pareidolia,4,
Epoch,4,"This ornate bow holds a sinister beauty. Each rediscovery marks impending disaster, against any force that attempts to overcome it. Such is the inevitability of fate: irreverent to the will of masses, an epoch starts anew."
Viridian,4,
Atomizer,3,
Idealogue,4,
Helminth,4,
Acidosis,3,
Expedition's End,3,
Unshackled Spirit,3,
Danse Macabre,4,
Flagellant,4,
Ancient Currency,1,
Keratoconus,3,"The unearthly wood of eyestalk is durable, but with horrific cost. Pieces severed from the trunk continue to collect and cultivate the essence of abandoned eyes, and the unfortunate wearer becomes a catalyst for growth."
Panic Zealot,4,They must know what you went through. They must suffer the same as you did.
Optic Fiber,1,
Giant Sword Shard,1,
Fragmentation,1,
Void Particulates,1,
Revered Silver Mask of Legendary Victory,3,"This ornate decorative mask, fashioned from pure silver, is awarded to those who have spent an unnecessary amount of time completing the Legendary Challenge and broken the mold by continuing to spend an unnecessary amount of time completing the Legendary Challenge."
Misalignment,5,
Pyrrhic Respite,3,
Ysengrim,4,
Black Space,5,"Give yourself to darkness, and in darkness, answers will take shape."
Gravitron,5,
Oblivion,4,"This sacrificial kris, fallen from the peak of the Tower of Ascension, is completely hollow. To wield it is to invite to yourself the same hollowness. To become such an aberration, to unwrite yourself in pursuit of power...it must be fed of its wielder til only the barest existence remains."
Wasteland Azalea,3,
Lanternfly Leg,4,
Tranquility,5,
Anxiolytic,3,
Grafted Eyestalk,5,
Dissociation,3,
Immolation,4,"The act of self-immolation is never taken lightly, and is always a sacrifice. This idol was carved to honor one such instance, in which a master of flame burned through his life force in a final act of heroism—purging an encroaching army of the undead, saving the people of the jungle from destruction."
Cannonade,3,"An impenetrable fortress’ greatest strength is psychological, a mythos built on the backs of a thousand attackers it has withstood. Your greatest strength is the belief that not one of those thousand could hold a candle to you."
Etiolation,3,"Despite the absence of natural light, in the deepest reaches of the Void grows foliage and flora capable of sustaining itself by absorbing latent energy. Such an accomplishment is to be admired, ideally from a keen distance."
Darkened Mind,3,
Titanomachia,3,"This is futile, a fight against odds so great you may as well challenge the force of fate itself. Yet there is pride to be found in delaying the inevitable, so stand your ground and fight to the end."
Insignia,3,"To wear the mark is more than a show of allegiance. It is a willingness to channel the might of the gods at whatever cost, as the fate of the battle is worth more than surviving to see its end."
Resolution,3,"In the moments before an all but inescapable death, time slows down, and the pace of battle becomes yours. By mastering the escape, you can face death on command, reaping the benefits at will before the reaper reaches you."
Windborne,3,"Orders, cannonfire, calls for surrender—the wind carries all. To ride the winds is to harness the lifeblood of battle, infiltrating up the veins of command with mere token resistance."
Mazeweaver,3,"The strong can hammer foe and nature alike into submission, waging war with indiscriminate force. The truly powerful pit them against each other on a whim, weaving stone and verdure into an elaborate web of attrition that beats with the heart of an entire world. What is an enemy compared to all the might of the Earth?"
Antebellum,3,"Only the naive celebrate a ceasefire. Not a second wasted, a merciless arms race against the inevitability of war has left you ready to unleash hell the moment the armistice breaks."
Cerberus,4,
Fog of Creation,4,
Sky Wood,2,
Voidstone Ingot,2,
Voidstone Gem,2,
Starfish Meat,2,
Starfish Oil,2,
Hemp String,2,
Hemp Grains,2,
Sky Paper,2,
Darkened Heart,3,
Psionic Quill,1,
Serafite,1,
Undiscovered Plant,1,
Borange Fluff,1,
Urdar's Stone,1,
Wind Ornament,1,
Retinal Membrane,1,
Peculiar Oddity,1,
Deep Ice Core,1,
Aspect of the Void,1,
Vista Mist,1,
Dogun Alert Sigil,1,
Flow of Fate,1,
Green Opal,1,
Cataratite,1,
Dark Iris,1,
Engored Oculus,1,
Dark Energy,1,
Claw of Demise,1,
Crystallized Organ,1,
Black Hole,1,
Obsidian-Framed Helmet,3,"Made of dark minerals and adorned with pure obsidian, this ornately-crafted helmet is given only to those who have bested the Mistress of the Hive."
Chaos-Woven Greaves,3,"With threads of fundamentally opposing magic delicately woven together, these ornately-crafted greaves are given only to those who have bested the Mistress of the Hive."
Brilliant Diamond Chestplate,3,
Prism,5,The jewel on this ring is found very rarely deep beneath the Light Forest. It has the power to manipulate light itself.
Medeis,3,
Abrasion,5,"""The fractures have ground the land to dust, our home to ruin, and our people to nothing."""
Rhythm of the Seasons,4,
Skidbladnir,3,
Elysium-Engraved Aegis,3,"Dedicated to a place of courage revered by all warriors, this ornately-crafted chestplate is given only to those who have bested the Mistress of the Hive."
The End,4,
Diaminar,4,
Compliance,5,"""All of our faith, all of our worship, and we were rewarded with the apocalypse."""
Anya's Penumbra,5,"""The lightest light will never defeat the darkest dark. Only those who understand both can survive."""
Xebec,5,
Infused Hive Relik,4,"Deceptively plain-looking, this relik has been infused with energy from all five known elements. The head gleams in a spectrum of colors."
Gaping Cavity,3,
Infused Hive Dagger,4,"Deceptively plain-looking, this dagger has been infused with energy from all five known elements. It leaves afterimages that pulsate in a spectrum of colors."
Timeworn Tassets,3,
Blur,4,
Infused Hive Wand,4,"Deceptively plain-looking, this wand has been infused with energy from all five known elements. It subtly glows in a spectrum of colors."
Recalcitrance,5,"""The omens, the warnings, they were right there, and we stood by and did nothing."""
Photon Projector,4,
Cyclone,4,
Hephaestus-Forged Sabatons,3,"Honoring a mythical dwarven smith lost to the legends, these ornately-crafted boots are given only to those who have bested the Mistress of the Hive."
Gravity,3,"No one knows how this extremely dense chestplate can even logically exist. It is almost paradoxical in nature, and affects its wearers in unfathomable ways."
Pisces,3,The oddly uncomfortable helmet was hand sculpted from a mystic clay found only in the depths of Molten Heights. Not much is known about the substance.
Infused Hive Bow,4,"Deceptively plain-looking, this bow has been infused with energy from all five known elements. Its string radiates a spectrum of colors."
Anima-Infused Cuirass,3,"Infused with the classical magicks of fire, water, and thunder, this ornately-crafted chestplate is given only to those who have bested the Mistress of the Hive."
Reborn,5,
Planet Healer,5,"The jewels in this necklace naturally draw darkness and corruption into its wearer, purifying the land around them at the cost of their own life."
Sequoia,4,
Intensity,5,The runes carved into this simple gold ring translate into various words meaning power. It amplifies elemental energies in inexplicable ways.
The Exploited,4,
The Watched,4,
Writhing Growth,3,
Far Cosmos,3,
Kivilu,4,
Eden-Blessed Guards,3,"Consecrated by Qira herself with blessings unknown to all but her, these ornately-crafted leggings are given only to those who have bested the Mistress of the Hive."
Esteemed Bronze Mask of Legendary Victory,3,"This decorative mask, crafted of bronze alloys, is awarded only to those who have spent an unnecessary amount of time completing the Legendary Challenge."
Enmity,5,
Twilight-Gilded Cloak,3,"An ephemeral moment in time captured by sheer force of magic, this ornately-crafted cloak is given only to those who have bested the Mistress of the Hive."
Morph-Stardust,3,
Ambivalence,5,"""It's all doomed anyway. If you don't care, nothing can hurt you."" - Zamugnia, Lost Lutho Citizen"
Infused Hive Spear,4,"Deceptively plain-looking, this spear has been infused with energy from all five known elements. Its tip shimmers in a spectrum of colors."
Neutrino,3,
Succession,5,"""I pray that those who have heeded the wise one’s warning have survived. The canyon must not meet this fate."""
Contrast,5,The runes carved onto the gold beads strung along this simple necklace translate into various words meaning variance. It provides many abilities though unexplainable means.
Obstinance,5,"""The protector will keep us safe even after this! It has to, it must, it—"""
Aquamarine,3,
Dondasch,3,The sheer bond between Adamastor and Urdar has manifested itself into a physical form due to their duress. Such power is not to be abused...
The Forsaken,4,
The Nothing,4,
Dispersion,5,"""The lucky ones perished in the abyss. It’s only a matter of time before the land picks us survivors off one by one."""
Boreal-Patterned Crown,3,"Engraved with the beauty and mystery of the boreal lights, this ornately-crafted crown is given only to those who have bested the Mistress of the Hive."
Syncope,4,"The soul of a Devil is so hot with hatred that their  bodies melt like candle wax, coming off in molten globs of flesh until only black bones remain."
Gaea-Hewn Boots,3,"Forged in direct tribute to the earth and its aspects, these ornately-crafted boots are given only to those who have bested the Mistress of the Hive."
Crack the Skies,4,
Abyss-Imbued Leggings,3,"Steeped in the deepest energies of the Ahms region void, these ornately-crafted leggings are given only to those who have bested the Mistress of the Hive."
Legendary Medallion,5,This medallion marks its wearer as a true champion. It is awarded to those who have put an unnecessary amount of time into attempting the Legendary Challenge.
Prowess,5,The runes carved into this simple gold cuff translate into various words meaning mastery. It amplifies the ability of the wearer in mysterious ways.
Fermion,3,
Marionette,4,
The Evolved,4,
Atakebune,3,
Pencuri,4,
Charm of the Stone,7,
Sycophant's Tome of Allegiance,6,
Freelancer's Tome of Allegiance,6,
Brute's Tome of Allegiance,6,
Alchemist's Tome of Allegiance,6,
Sadist's Tome of Allegiance,6,
Devil's Tome of Allegiance,6,
Psychopath's Tome of Allegiance,6,
Destroyer's Tome of Allegiance,6,
Barbarian's Tome of Allegiance,6,
Fanatic's Tome of Allegiance,6,
Ghost's Tome of Allegiance,6,
Loner's Tome of Allegiance,6,
Arsonist's Tome of Allegiance,6,
Mastermind's Tome of Allegiance,6,
Assimilator's Tome of Allegiance,6,
Warlock's Tome of Allegiance,6,
Surefooted Tome of the Marathon,6,
Fleetfooted Tome of the Marathon,6,
Dragon's Tome of Mysticism,6,
Golem's Tome of Mysticism,6,
Harvester's Tome of Mysticism,6,
Ephemeral Tome of Mysticism,6,
Faerie's Tome of Mysticism,6,
Pegasus' Tome of Mysticism,6,
Courageous Tome of Defensive Mastery,6,
Pulsing Tome of Defensive Mastery,6,
Vampiric Tome of Defensive Mastery,6,
Blooming Tome of Defensive Mastery,6,
Oceanic Tome of Defensive Mastery,6,
Clouded Tome of Defensive Mastery,6,
Everlasting Tome of Defensive Mastery,6,
Vortex Expulsion,1,
Adamastor's Faceplate,1,
Crust Crusher,4,
Blues Whistle,4,
Voidglass Crown,3,
Titanium Grievers,3,Crudely misshapen greaves made from haphazard scrap found about the Starfield. You sense a foreboding notion that donning such a thing would be the end of sensing anything at all.
The Extinguished,5,"Everything that’s fallen down here has a purpose. Or at least, it used to. Being too far removed from said purpose will eventually smother it, but it can always be rekindled... and that’s where you come in."
Tessera-laden Moccasins,3,
Voidstone Capelet,3,
Doomsday Omen,3,"Something is lurking—it must be, in the eerie silence that leaves you so utterly alone. And these remains… Are they a reminder of one who didn’t stay quiet, or does what lurks in the unknown already know you’re here?"
Cluster,4,Perhaps one is weak. To be ignored. Perhaps two are not much better. But what of five? Ten? Twenty?...
Cursed Wings,1,
Impure Nullity,1,
Skyraider Coin,1,
Sky Flux,1,
Demonic Blood,1,
Haphazard Serum,1,
Extremely Dense Pebble,1,
Fairy Powder,1,
Essence of Dissolution,1,
Rocky Spirit,1,
Infernal Antifreeze,1,
Farcor's Trust,1,
Sparkling Plate,3,
Stinger,4,"If it weren't for that stray mark, this would be spelled correctly..."
Knucklebones,5,"An old Nemract saying is engraved along the metal. ""A single toss of the knucklebones can make or break a gambling man."""
Vaward,3,"A once-great hero left behind these sturdy, reliable greaves, trusting those after her to be able to use their power to protect others, should they don them. Her courage fuels their wearers."
Corsair,3,
Brigantine,3,
Serrae,4,
Antim,5,
Despondence,3,
Stratiformis,4,"The Elves managed to harness the power of air itself, forming a bow made entirely of air currents, allowing the user to move swift like the wind, but vulnerable to attacks."
Slider,4,The spelling seems to have been botched.
Acid,5,
Conrupt,3,
Capricorn,3,"During a spiritual journey to Kato temple, the sage Capian was presented with powerful spiritual boots with the intention to be used for peaceful magic, and not hard combat."
Sitis,4,"Wielding it for too long will leave one a dessicated husk, as this dull blade slowly absorbs all liquids around it."
Tidebinder,4,"This mysterious, half-liquid trident apparently holds the secret magics to control the ocean's ebb and flow. It is incapable of touching solid ground."
Philophilia,3,
Ration,3,
Silver Sound,4,
Bylvis' Pitchfork,4,
Event Horizon,4,
Soulflare,3,
Brilliant Diamond Leggings,3,
Revenant,3,"Those whose souls are lost to the Canyon of the Lost eternally seek form. They inhabit those who wear these boots, unknowingly dragging the soul of the wearer into their ranks if worn for too long, leaving a wandering husk."
Curador Boots,3,
Black,4,"Hewn from the great obsidian spires surrounding the massive Nether gate, this fiercely-hooked dagger absorbs light and magic energy alike to create a desolate void wherever it is wielded."
Predposledni,4,
Braker,4,Seems like the name is misspelled a little bit.
Singularity,4,"The existence of all things is reflected in the otherworldly jewels of this grand staff, dense enough to have its own gravitational pull. Users have reported their limbs being stretched after usage."
Quinque,4,
Privateer,5,
Facile,5,
Warp,4,"The notorious and erratic magical inventor Gawrick once attempted to make teleportation scrolls obsolete, by creating items which would allow the user to phase into an ethereal state to move unhindered. He did not account for the physical ramifications of this process, however."
Novarupta,3,
Cytotoxic Striders,3,
Briars' Embrace,4,
Nebulous,5,
Bonder,4,It looks like they spelled the name wrong...
Rekkr,3,
Yol,4,
Crestfallen,3,
Pandemonium,5,"Power, but at what cost?"
Dreadnought,3,
Psionic Pretense,3,
Kickback,3,
Lower,4,The name has got to be misspelled... It doesn't even make any sense! 
Fatal,4,"A mage by the name of Lero claims to have harnessed the sheer power of lightning using a magical staff, however, the weapon is very unreliable in a pinch."
Anvil Crawler,4,
Span of the Starfield,5,Infinitesimal specks of matter wane in and out of view among the darkness of this clasp. Even a glance reminds you of what little exists in the expanses of the Void from which the materials of this were scavenged from.
Arrester Pot,3,
Voidglass Cloak,3,
Void Scavenger's Brace,5,
Sweet Memories,5,"The feel of cool cream. The savory satisfaction of fatty stew. The bittersweetness of chocolate. Luxuries long since lost alongside what once was, tastes and sensations you can't find anymore. It's enough to bring a man to bitter, bitter tears."
Anthracite Ballista,4,
Ascendant Starwalkers,3,
Earthsky Equinox,4,
Chestplate of Ineptitude,3,
Angelic Gem,1,
Fissured Tablet,1,
Dragon Aura,1,
Red Mercury,1,
Ghostly Plume,1,
Sylphid Tears,1,
Ocea Steel,1,
Dragonling Scale,1,
Dragonling Egg,1,
Float Stone,1,
Impeccable Light Jungle Relik,4,
Drumstick,4,
Valhalla,3,
Dragon Dance,3,
Contrail Shock,3,
Volcano,4,
Paradox,3,
Bastille,3,
The Parasite,4,
Seipodon,3,
Yggdrasil,4,
Warchief,3,"Sheer strength exudes from these Orcish relics, simple sandals ill-fitting to humans or Villagers. Enchanted with power and rage rather than magic, the strength that is provided when they are worn is unparalleled."
Achromatic Gloom,5,
Skipjack,5,
The Queen's Headpiece,3,
Impeccable Light Jungle Spear,4,
Tremorcaller,4,
Ensa's Failure,5,
Lustrous,4,
Cinderchain,3,
Necklace of a Thousand Storms,5,"Sealed away by the Avos of the old days to prevent it from falling into the wrong hands, this necklace was enchanted to strengthen its wearers spiritual link to nature itself."
Mistico,3,
Sizzling Shawl,3,
Battleground Dancer,3,
Impeccable Granite Dagger,4,
Phantasmagoria,3,
Cascade,4,"A great magical cataclysm at Mage Island brought on by a strange, seemingly disconnected series of events resulted in this wand absorbing nearly uncontrollably high levels of magic."
Misconduct,4,
Guillotine,3,
Ophiolite,3,
Impeccable Granite Wand,4,
Olive,5,
Downfall,5,"\[Community Event Winner\] A fallen link from a chainmail hauberk of an older time, this ring fell from a giant taller than a mountain. As it sped through the air and  gained momentum, it traveled so fast that it was battered to a tenth of its size."
Impeccable Granite Bow,4,
Luto Aquarum,4,
Frigate,3,
Facetious,5,
Noble Phantasm,4,
Dancing Blade,4,
Monster,4,"This wand merges with the user on touch, bringing about horrific changes to them. Elongated nails, sharp teeth and the ability to breathe fire are trademarks of the beast."
Ex Nihilo,3,
Aphotic,3,"This dark relic was found at the very bottom of the deepest trench of the ocean. It drains all light surrounding it, blinding everything in a strange abyssal darkness."
Mephistophelian,4,"When the two opposing Realms come to blows, War lashes out with blind enmity. Such is the nature of a Devil, each born from the hate those two Beasts bear."
Impeccable Light Jungle Dagger,4,
Veritas,4,
Hetusol,3,\[Community Event Winner\] The make of this massive cloak is unlike anything seen before among the provinces. Foreign images shift and melt in ethereal projections within the inside.
Resolve,3,
Dogun Sautoir,5,
Rodoroc's Pride,3,
Magnitude,4,
Propeller Hat,3,"A tag on the inside of the hat reads: ""Do not fly during thunderstorms! The wearer is liable for all injuries sustained while using this product."""
Arakadicus' Maw,4,
Arkhalis,4,
Impeccable Granite Spear,4,
Stratosphere,3,
Ace of Spades,4,
Impeccable Light Jungle Bow,4,
Brilliant Diamond Boots,3,
Spring,4,"Arrows fired by this bow are pure ice, but when they hit the enemy, burst into magical water, flash-freezing all that it touches. The frost burns will never heal."
Dupliblaze,5,
Impeccable Granite Relik,4,
Impeccable Light Jungle Wand,4,
Ophiuchus,3,
Necrosis,3,"450 years ago a demonic plague like no other spread through Gavel, killing thousands. That is, until a priest encased the disease inside a helmet and warned everyone never to wear it."
Timthriall,4,
Petrichor,3,\[Community Event Winner\]
Cancer֎,3,
Female Pirate Wig,3,
Waking Vigil,4,
Holy Powder,1,
Shajaea,4,
Void-Drenched Bauble,5,
Slimy Shako,3,
Voidglass Greaves,3,
Suspended Soliloquy,4,No one can hold you down anymore.
Grand Design,4,"It’s a gravity as abstract as it is physical, of phenomena so fascinating one can’t help but be pulled in."
Adhered Plate,3,
Ghostly Quasar,3,"An eerie glimpse into what once was, shining beautifully in the infinite expanse of the Void. As tragic a tale it is, perhaps it is better left a wisp."
Fehu,5,
Hydrofluoric Acid,1,
Soulfire Matterweave,1,
Inactive Rune,1,
Contorted Stone,1,
Angel's Blessing,1,
Hollow Psyche,1,
Glimmering Beak,1,
Plasteel Plating,1,
Calidade Mail,3,
Genoxyde,4,
King of Hearts,4,
Sapphire,3,
Collapse,4,"Despite the light weight of the weapon, the spearhead has been made from incredibly dense cosmic stone. A strong enough impact can directly destroy matter. Due to this danger, it is sought after to be destroyed."
Shaggy Boots,3,
Virgo,3,"These common leather boots were once owned by a barbarian with no magical prowess. Instead of enchanting it, he coated the soles in corrupted shards to punish those who opposed him."
Absolution,4,"A deep regret stains this weapon—once a healing implement of the scholar-priest, its gentle power was turned and twisted as his ideals and resolve were tested, and faltered. With its wielder long passed, perhaps it can finally be absolved of the atrocities committed by his hand... and remember the peace it has long forgotten."
Sharpened Harpoon,4,
Impeccable Jungle Bow,4,
Manablast,4,
Gaia,4,"The Dernel tribes revere various nature deities, each in their own unique fashions. One of the most notable was that of a lost tribe, who fashioned this blossoming stave as tribute to their deity of the earth itself."
Apex,3,
Sigil of Resistance,4,
Cryoseism,4,"One of the first dwarven theories of the increasing quakes in east Gavel was that the freezing of a Dogun town in the Heights also froze a massive underground spring, disrupting the earth and chain-reacting across the province."
Blank Stare,3,
Air In A Can,4,Contents under pressure.
Ionosphere,3,
Impeccable Jungle Spear,4,
Resistance,3,
Ahms' Remains,3,
Dying Lobelia,5,
Highrise,4,
The Specialist,4,
Yverlian Blade,4,
Soarfae,3,
Spectrum,3,
The Rainmaker,4,
Divzer,4,"Unruly magics of void and darkness are tamed within this bow's string. While those energies are never to be released, arrows fired from it fire at such blinding speeds so as to phase out of existence when they hit their target."
Impeccable Jungle Relik,4,
Praesidium,4,
Brilliant Diamond Helmet,3,
Fate's Shear,4,
Leviathan,3,
Mantlewalkers,3,
Nirvana,4,"Spiritual enlightenment is a goal that many monks hope to one day grasp the barest glimpse of, often thought to be a goal that must be worked towards over a lifetime. Holding this polished, translucent blade will instantly induce that lofty state until it is let go."
The Golem,3,
